web-scraper-order,web-scraper-start-url,topics,topics-href,course,course-href,course_institution,course_name,course_description,estimated_weeks,estimated_hours_per_week,study_mode,course_language,course_transcript_language,course_level,verified_price,audit_price
"1633024283-2389","https://www.edx.org/learn","Biology","https://www.edx.org/learn/biology","Quantitative Biology
Workshop…Schools and Partners: MITx…Course","https://www.edx.org/course/quantitative-biology-workshop-3","Massachusetts Institute of Technology Logo","Quantitative Biology Workshop","A workshop-style introduction to tools used in biological research. Discover how to analyze data using computational methods.","Estimated 9 weeks","4–8 hours per week","Self-paced","Language:","Video Transcript:  English","Level:  Intermediate","MX$2,028","Free"
"1633023908-2246","https://www.edx.org/learn","Economics","https://www.edx.org/learn/economics","Microeconomics…Schools and Partners: MITx…Course","https://www.edx.org/course/microeconomics","Massachusetts Institute of Technology Logo","Microeconomics","Use economic models to learn how prices and markets benefit society in the face of scarcity, and then apply those models to analyze policy.","Estimated 11 weeks","12–14 hours per week","Instructor-paced","Language:","Video Transcript:  English","Level:  Intermediate","null","null"
"1633029001-3971","https://www.edx.org/learn","Finance","https://www.edx.org/learn/finance","Financial Accounting…Schools and Partners: NYIF…Professional Certificate 6 Courses","https://www.edx.org/professional-certificate/nyif-financial-accounting","null","null","null","null","null","null","null","null","Career prospects for people with similar training include: Financial Analyst,Controller,Financial Manager)","null","null"
"1633027794-3632","https://www.edx.org/learn","Marketing Analytics","https://www.edx.org/learn/marketing-analytics","Digital Marketing
Analytics: Tools and
Techniques…Schools and Partners: UMD, USMx…Course","https://www.edx.org/course/digital-marketing-analytics-tools-and-techniques","The University of Maryland, College Park Logo","Digital Marketing Analytics: Tools and Techniques","Learn how to leverage leading tools and approaches to digital marketing data analysis. Dive into SEO and Paid search strategies, web analytics, online testing, machine learning and AI/Big Data applications to strengthen your digital marketing efforts and leverage your resources most effectively.","Estimated 4 weeks","3–5 hours per week","Self-paced","Language:","Video Transcript:  English","Level:  Introductory","MX$8,173","Free"
"1633023807-2202","https://www.edx.org/learn","Economics","https://www.edx.org/learn/economics","Energy Markets of Today…Schools and Partners: DelftX…Course","https://www.edx.org/course/the-energy-transition-part-1-the-european-energy-m","Delft University of Technology Logo","Energy Markets of Today","Understand the European energy market and the economic principles behind it.","Estimated 5 weeks","4–6 hours per week","Instructor-paced","Language:","Video Transcript:  English","Level:  Intermediate","MX$2,642","Free"
"1633025311-2769","https://www.edx.org/learn","Art","https://www.edx.org/learn/art","Landscape Techniques |
山水画技法…Schools and Partners: TsinghuaX…Course","https://www.edx.org/course/-15","Tsinghua University Logo","Landscape Techniques | 山水画技法","Chinese painting is an aesthetic representation of Chinese culture. Chinese landscape painting is a typical representative of Chinese painting in the whole world. This is because landscape painting can best present the aesthetic personality and spiritual world of the Chinese nation, and it can also reveal the fundamental point of Chinese culture and its unique appearance. The thickness of history occupies an important position in the history of world culture.","Estimated 8 weeks","4–6 hours per week","Self-paced","Language:","Video Transcript:  English","Level:  Introductory","MX$2,847","Free"
"1633025315-2771","https://www.edx.org/learn","Art","https://www.edx.org/learn/art","Detailed Design for
Dwellings | 住宅精细化设计…Schools and Partners: TsinghuaX…Course","https://www.edx.org/course/detailed-design-for-dwellingszhu-zhai-jing-xi-hua","Tsinghua University Logo","Detailed Design for Dwellings | 住宅精细化设计","Housing is the container of life. How to create a comfortable and practical living space through detailed design and decoration? In this course, we will help you understand ""the science of living"".","Estimated 8 weeks","1–2 hours per week","Self-paced","Language:","Video Transcript:  中文","Level:  Introductory","MX$1,004","Free"
"1633023764-2185","https://www.edx.org/learn","Education","https://www.edx.org/learn/education","Leading Educational
Innovation and
Improvement…Schools and Partners: MichiganX…MicroMasters® Program 5 Courses","https://www.edx.org/micromasters/michiganx-leading-educational-innovation-and-improvement","null","null","null","null","null","null","null","null","NOTE: Teachers and leaders should consult appropriate agencies to discuss possibilities for continuing education credit.","null","null"
"1633023575-2106","https://www.edx.org/learn","Government","https://www.edx.org/learn/government","Cybersecurity: The
CISO's View…Schools and Partners: UWashingtonX…Course","https://www.edx.org/course/cybersecurity-the-cisos-view","University of Washington Logo","Cybersecurity: The CISO's View","Learn about cybersecurity operations and the role played by the Chief Information Security Officer (CISO) in the industry.","Estimated 6 weeks","2–5 hours per week","Self-paced","Language:","Video Transcript:  English","Level:  Introductory","MX$4,076","Free"
"1633025539-2846","https://www.edx.org/learn","Self Improvement","https://www.edx.org/learn/self-improvement","Let’s Get Personal:
Working with Personality
Type…Schools and Partners: UMD, USMx…Course","https://www.edx.org/course/lets-get-personal-working-with-personality-type","The University of Maryland, College Park Logo","Let’s Get Personal: Working with Personality Type","Effective leaders capitalize on their strengths & manage their weaknesses. Build your power skills by understanding the MBTI, personality type assessment, and how to use your type to your greatest advantage as an effective leader.","Estimated 6 weeks","2–3 hours per week","Self-paced","Language:","Video Transcript:  English","Level:  Introductory","MX$4,076","Free"
"1633024343-2413","https://www.edx.org/learn","Probability","https://www.edx.org/learn/probability","Fat Chance: Probability
from the Ground Up…Schools and Partners: HarvardX…Course","https://www.edx.org/course/fat-chance-probability-from-the-ground-up-2","Harvard University Logo","Fat Chance: Probability from the Ground Up","Increase your quantitative reasoning skills through a deeper understanding of probability and statistics.","Estimated 7 weeks","3–5 hours per week","Self-paced","Language:","Video Transcript:  English","Level:  Introductory","MX$2,028","Free"
"1633025821-2933","https://www.edx.org/learn","Behavioral Psychology","https://www.edx.org/learn/behavioral-psychology","Unconscious Bias: From
Awareness to Action…Schools and Partners: CatalystX…Course","https://www.edx.org/course/unconscious-bias-from-awareness-to-action-2","Catalyst Logo","Unconscious Bias: From Awareness to Action","Learn in-demand leadership skills necessary to manage unconscious bias in your workplace.","Estimated 3 weeks","1–2 hours per week","Instructor-paced","Language:","Video Transcript:  English","Level:  Introductory","MX$1,004","Free"
"1633025486-2827","https://www.edx.org/learn","Vaccines","https://www.edx.org/learn/vaccines","Antimicrobial
Stewardship: Improving
Clinical Outcomes By O……Schools and Partners: StanfordOnline…Course","https://www.edx.org/course/antimicrobial-stewardship-improving-clinical-outcomes-by-optimization-of-antibiotic-practices","Stanford University Logo","Antimicrobial Stewardship: Improving Clinical Outcomes By Optimization of Antibiotic Practices","This video based course will introduce learners to the basic principles of appropriate antibiotic use, demonstrate how to apply these principles to the management of common infections, and outline how to develop and maintain an antimicrobial stewardship program.","Estimated 3 weeks","4–10 hours per week","Self-paced","Language:","Video Transcript:  English","Level:  Advanced","null","null"
"1633024081-2312","https://www.edx.org/learn","Planets","https://www.edx.org/learn/planets","Introduction to
Astrophysics…Schools and Partners: EPFLx…Course","https://www.edx.org/course/introduction-to-astrophysics","École polytechnique fédérale de Lausanne Logo","Introduction to Astrophysics","Learn about the physical phenomena at play in astronomical objects and link theoretical predictions to observations.","Estimated 7 weeks","3–4 hours per week","Self-paced","Language:","Video Transcript:  English","Level:  Introductory","MX$2,847","Free"
"1633023860-2225","https://www.edx.org/learn","Economics","https://www.edx.org/learn/economics","Fundamentals of
Macroeconomics…Schools and Partners: UC3Mx…Course","https://www.edx.org/course/fundamentals-of-macroeconomics","Universidad Carlos III de Madrid Logo","Fundamentals of Macroeconomics","This introductory course to macroeconomic analysis provides a thorough view of what economists know about aggregate production, inflation, unemployment and economic policies and elevates the learner to a first-year undergraduate level.","Estimated 6 weeks","2–3 hours per week","Self-paced","Language:","Video Transcript:  English","Level:  Introductory","MX$2,642","Free"
"1633024440-2448","https://www.edx.org/learn","Engineering","https://www.edx.org/learn/engineering","Science, Engineering, AI
& Data Ethics | 
科学技術・AI倫理…Schools and Partners: TokyoTechX…Course","https://www.edx.org/course/science-and-engineering-ethics-2","Tokyo Institute of Technology Logo","Science, Engineering, AI & Data Ethics |  科学技術・AI倫理","Learn about Science, Engineering, Artificial Intelligence (AI) and Data Ethics to improve human well-being.","Estimated 7 weeks","2–4 hours per week","Self-paced","Language:","Video Transcripts:  English, 日本語","Level:  Introductory","MX$2,028","Free"
"1633027954-3676","https://www.edx.org/learn","Web Development","https://www.edx.org/learn/web-development","AWS Developer Series…Schools and Partners: AWS…XSeries Program 3 Courses","https://www.edx.org/xseries/aws-developer-series","null","null","null","null","null","null","null","null","null","null","null"
"1633024306-2397","https://www.edx.org/learn","Probability","https://www.edx.org/learn/probability","Introduction to Probability
Management…Schools and Partners: StanfordOnline…Course","https://www.edx.org/course/introduction-to-probability-management","Stanford University Logo","Introduction to Probability Management","Probability management is the discipline of communicating and calculating uncertainties as auditable data arrays called Stochastic Information Packets or SIPs. This course provides a basic introduction to the subject.","Estimated 10 weeks","1–5 hours per week","Self-paced","Language:","Video Transcript:  English","Level:  Introductory","MX$1,823","Free"
"1633023757-2182","https://www.edx.org/learn","Education","https://www.edx.org/learn/education","Attaining Higher
Education…Schools and Partners: ColumbiaX…Course","https://www.edx.org/course/attaining-higher-education","Columbia University Logo","Attaining Higher Education","Prepare to transition to college using intentional decision-making. Aimed at active duty service members and veterans, with this course you will learn about the college admission process, including financial aid, to help you choose a right-fit college.","Estimated 5 weeks","3–5 hours per week","Self-paced","Language:","Video Transcript:  English","Level:  Introductory","null","null"
"1633026571-3219","https://www.edx.org/learn","Artificial Intelligence","https://www.edx.org/learn/artificial-intelligence","Fintech: AI & Machine
Learning in the Financial
Industry…Schools and Partners: UTAustinX…Course","https://www.edx.org/course/fintech-machine-learning-and-finance","The University of Texas at Austin Logo","Fintech: AI & Machine Learning in the Financial Industry","This course provides a detailed explanation of machine learning and its applications in finance.","Estimated 4 weeks","5–6 hours per week","Self-paced","Language:","Video Transcript:  English","Level:  Intermediate","null","null"
"1633027145-3416","https://www.edx.org/learn","Trading","https://www.edx.org/learn/trading","Quantitative Technical
Analysis…Schools and Partners: NYIF…Course","https://www.edx.org/course/quantitative-technical-analysis","New York Institute of Finance Logo","Quantitative Technical Analysis","Technical analysis has long been practiced in a subjective manner. This course will break that practice and present an objective review of technical analysis.","Estimated 4 weeks","1–2 hours per week","Self-paced","Language:","Video Transcript:  English","Level:  Introductory","null","null"
"1633025426-2809","https://www.edx.org/learn","Chinese History","https://www.edx.org/learn/chinese-history","Global China: From the
Mongols to the Ming…Schools and Partners: HarvardX…Course","https://www.edx.org/course/global-china-from-the-mongols-to-the-ming","Harvard University Logo","Global China: From the Mongols to the Ming","Explore the impact of the conquest dynasties and the world of the Ming.","Estimated 15 weeks","1–3 hours per week","Self-paced","Language:","Video Transcripts:  English, 中文","Level:  Introductory","MX$2,028","Free"
"1633026740-3276","https://www.edx.org/learn","Urban Planning","https://www.edx.org/learn/urban-planning","Urban Infrastructure
Management…Schools and Partners: EPFLx…Course","https://www.edx.org/course/urban-infrastructure-management","École polytechnique fédérale de Lausanne Logo","Urban Infrastructure Management","Learn the principles of managing urban infrastructure systems – the complex socio-technical systems that provide basic services to more than 50% of the world’s population.","null","null","Free","Language:","Video Transcripts:  English, Français","Level:  Introductory","MX$1,004","Free"
"1633027582-3563","https://www.edx.org/learn","Design Thinking","https://www.edx.org/learn/design-thinking","Problem Solving and
Critical Thinking Skills…Schools and Partners: FullbridgeX…Course","https://www.edx.org/course/problem-solving-and-critical-thinking-skills-2","Fullbridge Logo","Problem Solving and Critical Thinking Skills","Develop your ability to tackle complex problems in the workplace using known analytical problem solving techniques, design thinking, and effective research.","Estimated 3 weeks","2–3 hours per week","Self-paced","Language:","Video Transcript:  English","Level:  Introductory","null","null"
"1633023702-2158","https://www.edx.org/learn","Education","https://www.edx.org/learn/education","Let’s Get Emotional: 
Emotions & Emotional
Intelligence!…Schools and Partners: UMD, USMx…Course","https://www.edx.org/course/lets-get-emotional-emotions-emotional-intelligence","The University of Maryland, College Park Logo","Let’s Get Emotional:  Emotions & Emotional Intelligence!","Effective leaders have high self-awareness and emotional intelligence. This course will help you understand emotions -- our secondary and overlooked intelligence system -- and emotional intelligence. build your emotional vocabulary and emotional intelligence.","Estimated 5 weeks","2–3 hours per week","Self-paced","Language:","Video Transcript:  English","Level:  Introductory","MX$4,076","Free"
"1633026067-3026","https://www.edx.org/learn","Energy Transition","https://www.edx.org/learn/energy-transition","Nano-Device for Energy
Harvesting and Sensing…Schools and Partners: PurdueX…Course","https://www.edx.org/course/nano-device-for-energy-harvesting-and-sensing","Purdue University Logo","Nano-Device for Energy Harvesting and Sensing","Learn about the field of nanotechnology with a special emphasis on nanomaterials synthesis, characterizations and their applications in civil and environmental engineering.","Estimated 5 weeks","2–3 hours per week","Instructor-paced","Language:","Video Transcript:  English","Level:  Intermediate","MX$15,363","Free"
"1633025937-2978","https://www.edx.org/learn","Sustainable Development","https://www.edx.org/learn/sustainable-development","Landscape Leadership:
Catalyse Sustainable
Development in Landsc……Schools and Partners: WageningenX…Course","https://www.edx.org/course/landscape-leadership-catalyse-sustainability","Wageningen University & Research Logo","Landscape Leadership: Catalyse Sustainable Development in Landscapes","Learn how to become a landscape leader! Get the skills to mobilise human resources, manage and resolve conflict and facilitate and motivate stakeholders to achieve SDG-focused sustainable change.","Estimated 4 weeks","1–3 hours per week","Self-paced","Language:","Video Transcript:  English","Level:  Intermediate","MX$2,028","Free"
"1633023420-2043","https://www.edx.org/learn","Politics","https://www.edx.org/learn/politics","Comparative Democratic
Development Part II:
Structuring Democracy…Schools and Partners: StanfordOnline…Course","https://www.edx.org/course/wip-democratic-development-2","Stanford University Logo","Comparative Democratic Development Part II: Structuring Democracy","This course is designed to follow Comparative Democratic Development Part I: Conditions of Democracy. There are no formal prerequisites for this course, although an interest in democracy, democratic structures and institutions, as well as democratic development is key.","Estimated 6 weeks","3–6 hours per week","Self-paced","Language:","Video Transcript:  English","Level:  Introductory","MX$1,024","Free"
"1633024946-2646","https://www.edx.org/learn","Healthcare","https://www.edx.org/learn/healthcare","Health Informatics on
FHIR…Schools and Partners: GTx…Professional Certificate 3 Courses","https://www.edx.org/professional-certificate/gtx-health-informatics-on-fhir","null","null","null","null","null","null","null","null","34% of hospitals have open positions","null","null"
"1633026560-3215","https://www.edx.org/learn","Augmented Reality","https://www.edx.org/learn/augmented-reality","Getting Started with
Unreal Engine…Schools and Partners: RITx…Course","https://www.edx.org/course/intro-to-unreal-engine-1","Rochester Institute of Technology Logo","Getting Started with Unreal Engine","Learn about Unreal Engine, made by Epic Games --world leaders in VR/AR and the makers of international hit Fortnite","Estimated 7 weeks","3–4 hours per week","Self-paced","Language:","Video Transcript:  English","Level:  Introductory","MX$4,076","Free"
"1633027276-3460","https://www.edx.org/learn","Fintech","https://www.edx.org/learn/fintech","Machine learning with
Python for finance
professionals…Schools and Partners: ACCA…Course","https://www.edx.org/course/machine-learning-with-python-for-finance-professionals","ACCA Logo","Machine learning with Python for finance professionals","A machine learning course focused on delivering practical Python skills for finance professionals looking to maximise their use of these time-saving tools within their organisation.","Estimated 5 weeks","4–5 hours per week","Self-paced","Language:","Video Transcript:  English","Level:  Intermediate","MX$4,076","Free"
"1633026521-3202","https://www.edx.org/learn","Chemical Engineering","https://www.edx.org/learn/chemical-engineering","Introduction to Solid State
Chemistry…Schools and Partners: MITx…Course","https://www.edx.org/course/introduction-to-solid-state-chemistry","Massachusetts Institute of Technology Logo","Introduction to Solid State Chemistry","Learn chemical principles by examining materials with examples from energy generation and storage to emerging technologies.","Estimated 15 weeks","11–13 hours per week","Instructor-paced","Language:","Video Transcript:  English","Level:  Introductory","MX$2,028","Free"
"1633026453-3176","https://www.edx.org/learn","Computer Networking","https://www.edx.org/learn/computer-networking","Introduction to Open
Source Networking
Technologies…Schools and Partners: LinuxFoundationX…Course","https://www.edx.org/course/introduction-to-open-source-networking-technologie","The Linux Foundation Logo","Introduction to Open Source Networking Technologies","Learn technical fundamentals needed to adopt SDN, NFV, disaggregation, orchestration, network automation, and modern networking. Discover use cases and technical options for open networking. Plus: learn more about The Linux Foundation networking projects.","Estimated 14 weeks","3–4 hours per week","Self-paced","Language:","Video Transcript:  English","Level:  Introductory","MX$4,076","Free"
"1633026232-3092","https://www.edx.org/learn","Robotics","https://www.edx.org/learn/robotics","Robotics Foundations I -
Robot Modeling…Schools and Partners: FedericaX…Course","https://www.edx.org/course/robotics-foundations-i-robot-modeling","Università degli Studi di Napoli Federico II Logo","Robotics Foundations I - Robot Modeling","This course explores the robotics foundations for modelling of robot manipulators.","Estimated 8 weeks","8–10 hours per week","Self-paced","Language:","Video Transcript:  English","Level:  Intermediate","MX$1,229","Free"
"1633028956-3958","https://www.edx.org/learn","Innovation","https://www.edx.org/learn/innovation","Reinvent yourself:
Unleash your creativity…Schools and Partners: UTHealthSPHx…Course","https://www.edx.org/course/reinvent-yourself-unleash-your-creativity","The University of Texas Health Science Center at Houston (UTHealth) School of Public Health Logo","Reinvent yourself: Unleash your creativity","null","Estimated 28 weeks","2–4 hours per week","Self-paced","Language:","Video Transcript:  English","Level:  Introductory","MX$1,823","Free"
"1633026262-3102","https://www.edx.org/learn","MATLAB","https://www.edx.org/learn/matlab","MATLAB and Octave for
Beginners…Schools and Partners: EPFLx…Course","https://www.edx.org/course/matlab-and-octave-for-beginners","École polytechnique fédérale de Lausanne Logo","MATLAB and Octave for Beginners","Learn MATLAB and Octave and start experimenting with matrix manipulations, data visualizations, functions and mathematical computations.","Estimated 4 weeks","5–6 hours per week","Self-paced","Language:","Video Transcript:  English","Level:  Introductory","MX$2,847","Free"
"1633027495-3538","https://www.edx.org/learn","Virtual Reality","https://www.edx.org/learn/virtual-reality","Unreal Engine
Foundations…Schools and Partners: RITx…Professional Certificate 3 Courses","https://www.edx.org/professional-certificate/ritx-unreal-engine-foundations","null","null","null","null","null","null","null","null","This growing skill is currently in 10% of all postings for 3D graphics","null","null"
"1633025331-2778","https://www.edx.org/learn","Art","https://www.edx.org/learn/art","Unreal Engine Interactive
3D: Blueprints,
Animation, Audio, & Envi……Schools and Partners: RITx…Course","https://www.edx.org/course/intro-to-unreal-engine-2","Rochester Institute of Technology Logo","Unreal Engine Interactive 3D: Blueprints, Animation, Audio, & Environments","Expand your interactive Unreal Engine 3D skills with Blueprints, Landscapes, Audio and AI","Estimated 6 weeks","3–4 hours per week","Self-paced","Language:","Video Transcript:  English","Level:  Introductory","MX$4,076","Free"
"1633025083-2691","https://www.edx.org/learn","Japanese","https://www.edx.org/learn/japanese","Steps in Japanese for
Beginners 2…Schools and Partners: WasedaX…XSeries Program 3 Courses","https://www.edx.org/xseries/wasedax-steps-in-japanese-for-beginners-2","null","null","null","null","null","null","null","null","null","null","null"
"1633024930-2639","https://www.edx.org/learn","Healthcare","https://www.edx.org/learn/healthcare","Strategic Leadership in
Healthcare…Schools and Partners: DoaneX…Course","https://www.edx.org/course/strategic-leadership-in-healthcare","Doane University Logo","Strategic Leadership in Healthcare","Develop your own leadership style, while also coaching and mentoring teams to promote individual growth and improve organizational outcomes.","Estimated 5 weeks","5–10 hours per week","Self-paced","Language:","Video Transcript:  English","Level:  Intermediate","MX$4,076","Free"
"1633026150-3058","https://www.edx.org/learn","Software Engineering","https://www.edx.org/learn/software-engineering","Algorithms and Data
Structures…Schools and Partners: UCSanDiegoX…MicroMasters® Program 8 Courses","https://www.edx.org/micromasters/ucsandiegox-algorithms-and-data-structures","null","null","null","null","null","null","null","null","null","null","null"
"1633026166-3065","https://www.edx.org/learn","Software Engineering","https://www.edx.org/learn/software-engineering","Software Construction:
Object-Oriented Design…Schools and Partners: UBCx…Course","https://www.edx.org/course/software-construction-object-oriented-design","University of British Columbia Logo","Software Construction: Object-Oriented Design","null","Estimated 6 weeks","8–10 hours per week","Self-paced","Language:","Video Transcript:  English","Level:  Intermediate","MX$2,560","Free"
"1633029085-3992","https://www.edx.org/learn","Business Plan","https://www.edx.org/learn/business-plan","Innovative Business
Models for Expanding
Broadband and Closing t……Schools and Partners: WBGx…Course","https://www.edx.org/course/innovative-business-models-for-expanding-broadband-and-closing-the-access-gaps","World Bank Group Logo","Innovative Business Models for Expanding Broadband and Closing the Access Gaps","This course is based on the World Bank’s Innovative Business Models for Expanding Broadband and Closing the Access Gaps. This course is intended to provide informative examples and discussion regarding innovative business models and approaches to the deployment of high-speed broadband networks. The information presented and examples highlighted are intended to help policymakers and regulators better consider how they can assess broadband project options and adopt decisions tailored to their country’s circumstances and needs.","Estimated 2 weeks","2–3 hours per week","Self-paced","Language:","Video Transcript:  English","Level:  Introductory","MX$102","Free"
"1633026051-3022","https://www.edx.org/learn","GIS Geographic Information Systems","https://www.edx.org/learn/gis-geographic-information-systems","3D GIS…Schools and Partners: AlaskaX…Course","https://www.edx.org/course/3d-gis","University of Alaska Fairbanks Logo","3D GIS","Take your maps into the third dimension: Learn GIS concepts and tools to visualize, analyze, and interpret spatial data in 3D. Reveal patterns that can lead to better decision making.","Estimated 4 weeks","3–5 hours per week","Self-paced","Language:","Video Transcript:  English","Level:  Intermediate","MX$3,052","Free"
"1633025493-2829","https://www.edx.org/learn","Time Management","https://www.edx.org/learn/time-management","Re-Imagining Leadership…Schools and Partners: UMD, USMx…Professional Certificate 6 Courses","https://www.edx.org/professional-certificate/usmx-re-imagining-leadership","null","null","null","null","null","null","null","null","Power Skills cannot be automated, and inherently protect the learner from impacts of automation in the workplace","null","null"
"1633023477-2068","https://www.edx.org/learn","Politics","https://www.edx.org/learn/politics","The Supreme Court &
American Politics…Schools and Partners: UniversityofBaltimore, USMx…Course","https://www.edx.org/course/the-supreme-court-american-politics","University of Baltimore Logo","The Supreme Court & American Politics","Take a journey through the history of the United States Supreme Court, with primary emphasis on the Court’s interaction with America’s political life. From Washington to Trump, the Supreme Court has been both immersed in politics and kept apart from it.","Estimated 8 weeks","4–7 hours per week","Self-paced","Language:","Video Transcript:  English","Level:  Introductory","MX$594","Free"
"1633023844-2218","https://www.edx.org/learn","Economics","https://www.edx.org/learn/economics","Principles of
Microeconomics:
Competitive Markets…Schools and Partners: UQx…Course","https://www.edx.org/course/competitive-and-imperfectly-competitive-markets","The University of Queensland Logo","Principles of Microeconomics: Competitive Markets","Become immersed in economic concepts including elasticity of demand, market pricing, explicit and implicit costs and economic profit maximisation. Learn about monopolistic markets and market structure impacts on production and profit.","Estimated 6 weeks","1–2 hours per week","Self-paced","Language:","Video Transcript:  English","Level:  Intermediate","MX$4,076","Free"
"1633027046-3382","https://www.edx.org/learn","Project-Based Learning","https://www.edx.org/learn/project-based-learning","Big Data Capstone Project…Schools and Partners: AdelaideX…Course","https://www.edx.org/course/big-data-capstone-project","University of Adelaide Logo","Big Data Capstone Project","Further develop your knowledge of big data by applying the skills you have learned to a real-world data science project.","Estimated 6 weeks","4–5 hours per week","Self-paced","Language:","Video Transcript:  English","Level:  Advanced","MX$5,101","Free"
"1633028987-3965","https://www.edx.org/learn","Finance","https://www.edx.org/learn/finance","RA-GAP VAT Gap
Estimation Model…Schools and Partners: IMFx…Course","https://www.edx.org/course/ra-gap-vat-gap-estimation-model","The International Monetary Fund Logo","RA-GAP VAT Gap Estimation Model","Learn how to use the VAT gap estimation model used by the International Monetary Fund","Estimated 5 weeks","6–8 hours per week","Self-paced","Language:","Video Transcript:  English","Level:  Intermediate","MX$512","Free"
"1633027272-3458","https://www.edx.org/learn","Fintech","https://www.edx.org/learn/fintech","Blockchain for Business…Schools and Partners: LinuxFoundationX…Professional Certificate 2 Courses","https://www.edx.org/professional-certificate/linuxfoundationx-blockchain-for-business","null","null","null","null","null","null","null","null","Armed with better information of the blockchain landscape, this program will help them rise to new challenges in their current role by giving them a new dimension on which they can add value to their employer.","null","null"
"1633025697-2898","https://www.edx.org/learn","Safety","https://www.edx.org/learn/safety","Road Traffic Safety in
Automotive Engineering…Schools and Partners: ChalmersX…Course","https://www.edx.org/course/road-traffic-safety-in-automotive-engineering","Chalmers University of Technology Logo","Road Traffic Safety in Automotive Engineering","Learn the fundamentals of passive and active safety in automotive engineering","Estimated 8 weeks","10–20 hours per week","Instructor-paced","Language:","Video Transcript:  English","Level:  Advanced","MX$5,101","Free"
"1633024047-2298","https://www.edx.org/learn","Quantum Computing","https://www.edx.org/learn/quantum-computing","AI and Cloud Computing:
Implementation
Strategies for Business…Schools and Partners: UBCx…Professional Certificate 3 Courses","https://www.edx.org/professional-certificate/ubcx-implementation-strategies-for-business","null","null","null","null","null","null","null","null","Learners will gain a more comprehensive view of emerging technology implementation in the context of enterprise architecture, adding strategic value to their role and organization.","null","null"
"1633027219-3445","https://www.edx.org/learn","Personal Finance","https://www.edx.org/learn/personal-finance","Accounting for
Decision-Making…Schools and Partners: IIMBx…Course","https://www.edx.org/course/accounting-for-decision-making","Indian Institute of Management Bangalore Logo","Accounting for Decision-Making","Learn how to read and interpret financial statements and manage costs to take informed business decisions.","Estimated 7 weeks","3–5 hours per week","Self-paced","Language:","Video Transcripts:  English, हिन्दी","Level:  Intermediate","MX$3,073","Free"
"1633026965-3356","https://www.edx.org/learn","Digital Transformation","https://www.edx.org/learn/digital-transformation","Transforming Your
Company’s Data
Analytics: Championin……Schools and Partners: UMD, USMx…Professional Certificate 4 Courses","https://www.edx.org/professional-certificate/usmx-championing-the-digital-enterprise","null","null","null","null","null","null","null","null","A 2011 McKinsey research report found that data-savvy managers are needed to organize the organization’s data science teams to create centers of excellence that connect with the rest of the organization.","null","null"
"1633027443-3521","https://www.edx.org/learn","Business Administration","https://www.edx.org/learn/business-administration","PreMBA Essentials for
Professionals…Schools and Partners: ImperialX…Professional Certificate 4 Courses","https://www.edx.org/professional-certificate/imperialbusinessx-pre-mba-essentials-for-professionals","null","null","null","null","null","null","null","null","null","null","null"
"1633023851-2221","https://www.edx.org/learn","Economics","https://www.edx.org/learn/economics","Sustainable
Development: The
Post-Capitalist Order…Schools and Partners: SDGAcademyX…Course","https://www.edx.org/course/sustainable-development-the-post-capitalist-order","SDG Academy Logo","Sustainable Development: The Post-Capitalist Order","Sustainable development represents a shift from our current system of inequitable capitalism to one that prioritizes prosperity for all, while remaining conscious of its environmental impact and sustainability for future generations. Learn why sustainable development has been adopted by countries and multilateral organizations around the world, and how this approach is transforming the way we live, work, and govern our planet.","Estimated 8 weeks","2–4 hours per week","Self-paced","Language:","Video Transcript:  English","Level:  Introductory","MX$1,004","Free"
"1633026772-3288","https://www.edx.org/learn","Technology","https://www.edx.org/learn/technology","Technology
Entrepreneurship: Lab to
Market…Schools and Partners: HarvardX…Course","https://www.edx.org/course/technology-entrepreneurship-lab-to-market","Harvard University Logo","Technology Entrepreneurship: Lab to Market","Explore how entrepreneurs build successful businesses by moving technology from lab to market.","Estimated 5 weeks","2–4 hours per week","Self-paced","Language:","Video Transcript:  English","Level:  Introductory","MX$2,028","Free"
"1633023348-2013","https://www.edx.org/learn","Psychology","https://www.edx.org/learn/psychology","Mental Health and
Nutrition…Schools and Partners: UCx…Course","https://www.edx.org/course/mental-health-and-nutrition","University of Canterbury Logo","Mental Health and Nutrition","Learn what foods and nutrients should and should not be consumed to improve mental wellbeing and explore the fundamental role that nutrition plays in our mental health.","Estimated 8 weeks","2–6 hours per week","Self-paced","Language:","Video Transcript:  English","Level:  Introductory","MX$3,052","Free"
"1633028275-3764","https://www.edx.org/learn","Command Line","https://www.edx.org/learn/command-line","Introduction to Digital
Humanities…Schools and Partners: HarvardX…Course","https://www.edx.org/course/introduction-to-digital-humanities","Harvard University Logo","Introduction to Digital Humanities","Develop skills in digital research and visualization techniques across subjects and fields within the humanities.","Estimated 7 weeks","2–4 hours per week","Self-paced","Language:","Video Transcript:  English","Level:  Introductory","MX$3,052","Free"
