web-scraper-order,web-scraper-start-url,topics,topics-href,course,course-href,course_institution,course_name,course_description,estimated_weeks,estimated_hours_per_week,study_mode,course_language,course_transcript_language,course_level,verified_price,audit_price
"1633026498-3194","https://www.edx.org/learn","Computer Engineering","https://www.edx.org/learn/computer-engineering","Cyber Security Basics: A
Hands-on Approach…Schools and Partners: UC3Mx…Course","https://www.edx.org/course/cyber-security-basics-a-hands-on-approach","Universidad Carlos III de Madrid Logo","Cyber Security Basics: A Hands-on Approach","Learn how to think like a hacker, but behave as a security expert.","Estimated 6 weeks","5–7 hours per week","Self-paced","Language:","Video Transcript:  English","Level:  Intermediate","MX$2,028","Free"
"1633028427-3811","https://www.edx.org/learn","Social Media Marketing","https://www.edx.org/learn/social-media-marketing","Online Advertising &
Social Media…Schools and Partners: UMD, USMx…Course","https://www.edx.org/course/online-advertising-social-media","The University of Maryland, College Park Logo","Online Advertising & Social Media","Learn how to develop Online Advertising Ecosystems complete with Social Media/Social Network and Media Big Data analysis for better decision making in all forms of outreach.","Estimated 4 weeks","3–5 hours per week","Self-paced","Language:","Video Transcript:  English","Level:  Introductory","MX$10,221","Free"
"1633027418-3510","https://www.edx.org/learn","Business Administration","https://www.edx.org/learn/business-administration","Design and innovation of
business model…Schools and Partners: TecdeMonterreyX…Course","https://www.edx.org/course/design-and-innovation-of-business-model","Tecnológico de Monterrey Logo","Design and innovation of business model","Business models are an important tool when starting a new business or building a growth company. Business model analysis provides us with a simple and effective framework for evaluating new opportunities.","Estimated 4 weeks","5–8 hours per week","Self-paced","Language:","Video Transcript:  English","Level:  Advanced","MX$2,028","Free"
"1633027217-3444","https://www.edx.org/learn","Personal Finance","https://www.edx.org/learn/personal-finance","Finance…Schools and Partners: MITx…MicroMasters® Program 5 Courses","https://www.edx.org/micromasters/mitx-finance","null","null","null","null","null","null","null","null","Demand for financial analysts is predicted to grow at a faster than average rate of 11% through 2026.","null","null"
"1633026820-3305","https://www.edx.org/learn","Nanotechnology","https://www.edx.org/learn/nanotechnology","Fundamentals of
Transistors…Schools and Partners: PurdueX…Course","https://www.edx.org/course/fundamentals-of-transistors","Purdue University Logo","Fundamentals of Transistors","This course develops a simple framework for understanding the essential physics of transistors, including modern nanoscale transistors. Important technology considerations and circuit applications are also discussed.","Estimated 6 weeks","8–9 hours per week","Instructor-paced","Language:","Video Transcript:  English","Level:  Advanced","MX$15,363","Free"
"1633024525-2482","https://www.edx.org/learn","Data Analysis","https://www.edx.org/learn/data-analysis","Data Science for
Executives…Schools and Partners: ColumbiaX…Professional Certificate 3 Courses","https://www.edx.org/professional-certificate/columbiax-data-science-for-executives","null","null","null","null","null","null","null","null","null","null","null"
"1633027725-3610","https://www.edx.org/learn","R Programming","https://www.edx.org/learn/r-programming","Visualizing Data with R…Schools and Partners: IBM…Course","https://www.edx.org/course/visualizing-data-with-r","IBM Logo","Visualizing Data with R","Learn about the ggplot2 data visualization package for R, creating map plots with geolocation data using Leaflet, and interactive dashboards to display your work on the web using the R Shiny package!","Estimated 4 weeks","1–2 hours per week","Self-paced","Language:","Video Transcript:  English","Level:  Introductory","MX$2,028","Free"
"1633023286-1987","https://www.edx.org/learn","Public Policy","https://www.edx.org/learn/public-policy","Healthcare
Administration…Schools and Partners: DoaneX…MicroMasters® Program 8 Courses","https://www.edx.org/micromasters/doanex-healthcare-administration","null","null","null","null","null","null","null","null","A successful Healthcare Administrator possesses analytical, communication, interpersonal, leadership and technical skills, and is detail-oriented. Healthcare leadership is a critical aspect of future growth in the health sciences field.","null","null"
"1633024331-2408","https://www.edx.org/learn","Probability","https://www.edx.org/learn/probability","Probability and Statistics
II:  Random Variables –
Great Expectations to B……Schools and Partners: GTx…Course","https://www.edx.org/course/probability-and-statistics-ii-random-variables-great-expectations-to-bell-curves","The Georgia Institute of Technology Logo","Probability and Statistics II:  Random Variables – Great Expectations to Bell Curves","This course discusses properties and applications of random variables. For instance, how many customers are likely to arrive in the next hour? What’s the probability that a lightbulb will last more than a year?","Estimated 4 weeks","6–12 hours per week","Self-paced","Language:","Video Transcript:  English","Level:  Intermediate","MX$4,076","Free"
"1633027849-3645","https://www.edx.org/learn","Excel","https://www.edx.org/learn/excel","Risk & Return…Schools and Partners: ColumbiaX…Course","https://www.edx.org/course/risk-return","Columbia University Logo","Risk & Return","Learn how to measure the risk and return of equity and debt; and compute the weighted average of cost of capital.","Estimated 4 weeks","3–4 hours per week","Self-paced","Language:","Video Transcript:  English","Level:  Introductory","MX$4,609","Free"
