web-scraper-order,web-scraper-start-url,pagination,course_link,course_link-href,course_institution,course_category,course_name,course_description,estimated_weeks,estimated_hours_per_week,study_mode,course_language,video_transcript_language,course_level,verified_price,audit_price
"1632951461-965","https://www.edx.org/search?tab=course","","Data Science: Inference
and Modeling…Schools and Partners: HarvardX…Course","https://www.edx.org/course/data-science-inference-and-modeling?index=product&queryID=e43b8052272822fd89c2f3cd8f2a0bdd&position=23","Harvard University Logo","Data Analysis & Statistics Courses","Data Science: Inference and Modeling","Learn inference and modeling, two of the most widely used statistical tools in data analysis.","Estimated 8 weeks","1–2 hours per week","Self-paced","Language:  English","Video Transcript:  English","Level:  Introductory","MX$2,022","Free"
"1632951671-1055","https://www.edx.org/search?tab=course","","Introduction to Biology -
The Secret of Life…Schools and Partners: MITx…Course","https://www.edx.org/course/introduction-to-biology-the-secret-of-life-3?index=product&queryID=1934118950fddb70cac0ced23a0be8c4&position=5","Massachusetts Institute of Technology Logo","Biology & Life Sciences Courses","Introduction to Biology - The Secret of Life","Explore the secret of life through the basics of biochemistry, genetics, molecular biology, recombinant DNA, genomics and rational medicine.","Estimated 16 weeks","5–10 hours per week","Instructor-paced","Language:  English","Video Transcripts:  English, 中文","Level:  Introductory","MX$3,064","Free"
"1632949728-218","https://www.edx.org/search?tab=course","","Introduction to the
Modern Nanotechnology…Schools and Partners: MEPhIx…Course","https://www.edx.org/course/introduction-to-the-modern-nanotechnology?index=product&queryID=092a10a6fcf24251b7ea263b69c494f5&position=2","National Research Nuclear University Logo","Physics Courses","Introduction to the Modern Nanotechnology","The aim of the course is a basic acquaintance with the concepts and approaches used in the field of nanomaterials design, fabrication and analysis. The course examines the physical basis of modern nanotechnology from the standpoint of semiconductor physics and quantum mechanics. The range of issues covered includes nanosystems classification by dimension, consideration of ""bottom-up"" and ""from top down"" approaches, examples of nanomaterials and nanosystems properties changes, the basis of practical device fabrication technologies for electronics, microwave photonics and photovoltaics, as well as the most important techniques for nanomaterial and device characterization.","Estimated 8 weeks","2–3 hours per week","Self-paced","Language:  English","Video Transcript:  English","Level:  Introductory","MX$1,001","Free"
"1632951330-907","https://www.edx.org/search?tab=course","","Digital Marketing and
Data Driven Analytics…Schools and Partners: TecdeMonterreyX…Course","https://www.edx.org/course/digital-marketing-and-data-driven-analytics?index=product&queryID=cbfdc94dedf4e82896a822d2fa1e50ca&position=9","Tecnológico de Monterrey Logo","Business & Management Courses","Digital Marketing and Data Driven Analytics","Digital Marketing is the backbone element which uses platforms and digital technologies, such as any kind of device to maintain connected to the users. Once the users are part of this ecosystem, the companies convert this random data in accurate algorithms to improve the effectiveness of any marketing campaign.","Estimated 4 weeks","5–8 hours per week","Self-paced","Language:  English","Video Transcript:  English","Level:  Intermediate","MX$4,065","Free"
"1632951588-1020","https://www.edx.org/search?tab=course","","Pyramids of Giza: Ancient
Egyptian Art and
Archaeology…Schools and Partners: HarvardX…Course","https://www.edx.org/course/pyramids-of-giza-ancient-egyptian-art-and-archaeol?index=product&queryID=02675bfcb9e25c57835d11177f39e4ed&position=16","Harvard University Logo","Art & Culture Courses","Pyramids of Giza: Ancient Egyptian Art and Archaeology","Explore the archaeology, history, art, and hieroglyphs surrounding the famous Egyptian Pyramids at Giza. Learn about Old Kingdom pharaohs and elites, tombs, temples, the Sphinx, and how new technology is unlocking their secrets.","Estimated 8 weeks","2–4 hours per week","Self-paced","Language:  English","Video Transcript:  English","Level:  Introductory","MX$3,044","Free"
"1632951831-1125","https://www.edx.org/search?tab=course","","Data Science: R Basics…Schools and Partners: HarvardX…Course","https://www.edx.org/course/data-science-r-basics?index=product&queryID=588dbeb1008274c93ff2af0c6813ab19&position=7","Harvard University Logo","Data Analysis & Statistics Courses","Data Science: R Basics","Build a foundation in R and learn how to wrangle, analyze, and visualize data.","Estimated 8 weeks","1–2 hours per week","Self-paced","Language:  English","Video Transcript:  English","Level:  Introductory","MX$3,044","Free"
"1632951674-1056","https://www.edx.org/search?tab=course","","The Health Effects of
Climate Change…Schools and Partners: HarvardX…Course","https://www.edx.org/course/the-health-effects-of-climate-change?index=product&queryID=1934118950fddb70cac0ced23a0be8c4&position=4","Harvard University Logo","Environmental Studies Courses","The Health Effects of Climate Change","Learnhow global warming impacts human health, and the wayswe can diminish those impacts.","Estimated 7 weeks","3–5 hours per week","Self-paced","Language:  English","Video Transcript:  English","Level:  Introductory","MX$3,044","Free"
"1632951026-775","https://www.edx.org/search?tab=course","","Inteligencia emocional
para el liderazgo efectivo
y colaboración…Schools and Partners: AnahuacX…Course","https://www.edx.org/course/inteligencia-emocional-para-el-liderazgo-efectiv-2?index=product&queryID=564ff1b0803659747437d39c3c316bf6&position=21","Universidades Anáhuac Logo","Social Sciences Courses","Inteligencia emocional para el liderazgo efectivo y colaboración","En este curso en línea aprenderás de que forma utilizar el liderazgo emocional efectivo como el factor clave para el éxito de un buen manejo de equipo, tanto en lo social como en lo profesional. Conviértete en un líder en control de sus emociones.","Estimated 4 weeks","4–5 hours per week","Self-paced","Language:  Español","Video Transcript:  Español","Level:  Introductory","MX$1,001","Free"
"1632951371-925","https://www.edx.org/search?tab=course","","Behavioural Economics in
Action…Schools and Partners: University_of_TorontoX…Course","https://www.edx.org/course/behavioural-economics-in-action?index=product&queryID=d184b84006430da4466eda0004fec3a8&position=15","University of Toronto Logo","Business & Management Courses","Behavioural Economics in Action","Learn to use principles and methods of behavioural economics to change behaviours, improve welfare and make better products and policy.","Estimated 6 weeks","4–5 hours per week","Self-paced","Language:  English","Video Transcript:  English","Level:  Introductory","MX$2,839","Free"
"1632951289-889","https://www.edx.org/search?tab=course","","Machine Learning
(aprendizaje automático)
con Python: una introdu……Schools and Partners: IBM…Course","https://www.edx.org/course/machine-learning-aprendizaje-automatico-con-python?index=product&queryID=3e0181f7523936256411e9833fd85304&position=3","IBM Logo","Computer Science Courses","Machine Learning (aprendizaje automático) con Python: una introducción práctica","El Machine Learning puede ser una herramienta increíblemente beneficiosa para descubrir información y predecir tendencias futuras. Este curso de aprendizaje automático con Python te brindará todas las herramientas que necesitas para comenzar con el aprendizaje supervisado y autónomo.","Estimated 5 weeks","4–6 hours per week","Self-paced","Language:  Español","Video Transcript:  Español","Level:  Introductory","MX$1,001","Free"
"1632950365-491","https://www.edx.org/search?tab=course","","Algorithm Design and
Analysis…Schools and Partners: PennX…Course","https://www.edx.org/course/algorithm-design-and-analysis?index=product&queryID=1d11827913c957b47d15978a06f0a94e&position=17","University of Pennsylvania Logo","Computer Science Courses","Algorithm Design and Analysis","Learn about the core principles of computer science: algorithmic thinking and computational problem solving.","Estimated 4 weeks","6–8 hours per week","Self-paced","Language:  English","Video Transcript:  English","Level:  Intermediate","MX$3,044","Free"
